app_name,rq4_found,rq4_status,rq4_normal_count,rq4_dangerous_count,rq5_found,rq5_status,rq5_unused_count,rq7_found,rq7_status,rq7_vulnerable_count,rq7_safe_export_count,error
Copy of cn.com.tiro.virtualremote_113.apk,True,MEDIUM RISK,4,7,True,VULNERABLE,8,False,CLEAN,0,2,
Copy of co.dudo.podcastvn_28.apk,True,MEDIUM RISK,8,6,True,VULNERABLE,12,True,VULNERABLE,3,5,
Copy of com.a7afidi.hidden_23.apk,True,MEDIUM RISK,4,2,True,VULNERABLE,3,True,VULNERABLE,1,1,
Copy of com.agiliron_5.apk,True,MEDIUM RISK,3,5,True,VULNERABLE,5,False,CLEAN,0,1,
Copy of com.aicsm.sscpreviousyearsgk_16.apk,True,MEDIUM RISK,2,1,True,VULNERABLE,1,False,CLEAN,0,1,
Copy of com.aiobhd.statussaver_3.apk,True,MEDIUM RISK,2,2,True,VULNERABLE,1,True,VULNERABLE,2,2,
Copy of com.ali.pashtodictionary.apps_320.apk,True,MEDIUM RISK,3,2,True,VULNERABLE,4,True,VULNERABLE,1,2,
Copy of com.androidappsworldmx.kissfmespana_20230326.apk,True,MEDIUM RISK,3,1,True,VULNERABLE,1,True,VULNERABLE,3,1,
Copy of com.angel.world.clock_14.apk,True,MEDIUM RISK,5,2,True,VULNERABLE,4,False,CLEAN,0,1,
Copy of com.aplicativoslegais.topstickers_49.apk,True,MEDIUM RISK,3,3,True,VULNERABLE,3,True,VULNERABLE,3,4,
Copy of com.apnax.wordpark_49.apk,True,VULNERABLE,4,0,True,VULNERABLE,2,True,VULNERABLE,3,4,
Copy of com.app.azantime_58.apk,True,MEDIUM RISK,4,4,True,VULNERABLE,1,True,VULNERABLE,7,3,
Copy of com.app.radiojibi_23.apk,True,MEDIUM RISK,6,1,True,VULNERABLE,2,True,VULNERABLE,5,4,
Copy of com.app.sefamerve_172.apk,True,MEDIUM RISK,4,2,True,VULNERABLE,4,True,VULNERABLE,2,2,
Copy of com.appg.bankdiary.client_11.apk,True,MEDIUM RISK,2,5,True,VULNERABLE,2,True,VULNERABLE,1,3,
Copy of com.appg.ebridge_209411.apk,True,MEDIUM RISK,4,3,True,VULNERABLE,2,False,CLEAN,0,5,
Copy of com.appking.juzs.juz9_7.apk,True,VULNERABLE,2,0,True,VULNERABLE,2,False,CLEAN,0,1,
Copy of com.apprancher.freestuff_80000000.apk,True,MEDIUM RISK,2,4,True,VULNERABLE,3,False,CLEAN,0,1,
Copy of com.AppRocks.now.prayer_907.apk,True,MEDIUM RISK,8,5,True,VULNERABLE,10,True,VULNERABLE,13,14,
